"unitid","institution name","year","DRVGR2011_RV.Graduation rate - bachelor's degree within 6 years, total"
"100812","Athens State University","2011",
"100937","Birmingham Southern College","2011","62"
"101073","Concordia College Alabama","2011","3"
"101116","South University-Montgomery","2011","8"
"101435","Huntingdon College","2011","52"
"101541","Judson College","2011","38"
"101675","Miles College","2011","20"
"101693","University of Mobile","2011","43"
"101912","Oakwood University","2011","35"
"102234","Spring Hill College","2011","61"
"102270","Stillman College","2011","34"
"102298","Talladega College","2011","20"
"104090","Brookline College-Phoenix","2011","57"
"104586","Embry-Riddle Aeronautical University-Prescott","2011","57"
"105899","Arizona Christian University","2011","31"
"106342","Lyon College","2011","50"
"106412","University of Arkansas at Pine Bluff","2011","23"
"106713","Central Baptist College","2011","35"
"107080","Hendrix College","2011","73"
"107512","Ouachita Baptist University","2011","63"
"107558","University of the Ozarks","2011","46"
"107600","Philander Smith College","2011","31"
"107877","Williams Baptist College","2011","35"
"108092","University of Arkansas-Fort Smith","2011","23"
"111188","California State University Maritime Academy","2011","62"
"112084","San Diego Christian College","2011","31"
"112260","Claremont McKenna College","2011","91"
"112394","Cogswell College","2011","43"
"115409","Harvey Mudd College","2011","84"
"115773","Humphreys University-Stockton and Modesto Campuses","2011","53"
"116846","American Jewish University","2011","44"
"118541","Marymount California University","2011",
"120254","Occidental College","2011","83"
"120865","Pacific Union College","2011","45"
"121257","Pitzer College","2011","81"
"121345","Pomona College","2011","95"
"122728","William Jessup University","2011","54"
"123165","Scripps College","2011","88"
"124292","Thomas Aquinas College","2011","69"
"125727","Westmont College","2011","77"
"125763","Whittier College","2011","55"
"126678","Colorado College","2011","88"
"127185","Fort Lewis College","2011","37"
"127556","Colorado Mesa University","2011","25"
"127680","National American University-Colorado Springs","2011","0"
"128328","United States Air Force Academy","2011","83"
"128780","Charter Oak State College","2011",
"128902","Connecticut College","2011","84"
"129774","Mitchell College","2011","47"
"130590","Trinity College","2011","86"
"130624","United States Coast Guard Academy","2011","83"
"130697","Wesleyan University","2011","92"
"131098","Wesley College","2011","33"
"132602","Bethune-Cookman University","2011","37"
"133492","Eckerd College","2011","63"
"133526","Edward Waters College","2011","18"
"133711","Flagler College-St Augustine","2011","60"
"133979","Florida Memorial University","2011","42"
"135610","Trinity International University-Florida","2011",
"138275","Warner University","2011","40"
"138293","Webber International University","2011","32"
"138600","Agnes Scott College","2011","65"
"138868","Point University","2011","39"
"139205","Brewton-Parker College","2011","19"
"139393","Covenant College","2011","51"
"139630","Emmanuel College","2011","36"
"140234","LaGrange College","2011","48"
"140340","Herzing University-Atlanta","2011","17"
"140553","Morehouse College","2011","55"
"140696","Oglethorpe University","2011","48"
"140720","Paine College","2011","27"
"140872","Reinhardt University","2011","47"
"140988","Shorter University","2011","47"
"141060","Spelman College","2011","77"
"141185","Toccoa Falls College","2011","48"
"141237","Truett McConnell University","2011","14"
"141325","Wesleyan College","2011","52"
"141361","Young Harris College","2011",
"141981","University of Hawaii-West Oahu","2011",
"142294","The College of Idaho","2011","63"
"142328","Lewis-Clark State College","2011","28"
"142522","Brigham Young University-Idaho","2011","52"
"143084","Augustana College","2011","76"
"143288","Blackburn College","2011","48"
"144883","East-West University","2011","8"
"144971","Eureka College","2011","65"
"145646","Illinois Wesleyan University","2011","82"
"145691","Illinois College","2011","57"
"146393","Kendall College","2011","34"
"146427","Knox College","2011","78"
"146481","Lake Forest College","2011","68"
"146825","MacMurray College","2011","36"
"147244","Millikin University","2011","65"
"147341","Monmouth College","2011","57"
"148016","Principia College","2011",
"149505","Trinity Christian College","2011","64"
"149781","Wheaton College","2011","87"
"150400","DePauw University","2011","85"
"150455","Earlham College","2011","66"
"150604","Franklin College","2011","54"
"150668","Goshen College","2011","73"
"150756","Hanover College","2011","71"
"150774","Holy Cross College","2011","13"
"150941","Huntington University","2011","62"
"151333","Indiana University-Kokomo","2011","20"
"151777","Manchester University","2011","51"
"151810","Martin University","2011","8"
"152099","Oakland City University","2011","64"
"152266","Purdue University-North Central Campus","2011","17"
"152363","Saint Josephs College","2011","58"
"152381","Saint Mary-of-the-Woods College","2011","57"
"152390","Saint Mary's College","2011","79"
"152530","Taylor University","2011","80"
"152567","Trine University","2011","44"
"152673","Wabash College","2011","75"
"152992","Briar Cliff University","2011","45"
"153001","Buena Vista University","2011","55"
"153108","Central College","2011","63"
"153126","Clarke University","2011","60"
"153144","Coe College","2011","69"
"153162","Cornell College","2011","70"
"153250","Dordt College","2011","60"
"153375","Grand View University","2011","41"
"153384","Grinnell College","2011","88"
"153621","Iowa Wesleyan University","2011","25"
"153825","Loras College","2011","59"
"153834","Luther College","2011","69"
"154101","Northwestern College","2011","66"
"154350","Simpson College","2011","69"
"154518","Waldorf University","2011","45"
"154527","Wartburg College","2011","63"
"154712","Benedictine College","2011","56"
"154721","Bethany College","2011","42"
"154749","Bethel College-North Newton","2011","52"
"154855","Central Christian College of Kansas","2011","41"
"155414","Kansas Wesleyan University","2011","42"
"155511","McPherson College","2011","46"
"155627","Ottawa University-Ottawa","2011","47"
"155636","Ottawa University-Kansas City","2011",
"155937","Sterling College","2011","48"
"155973","Tabor College","2011","52"
"156189","Alice Lloyd College","2011","45"
"156295","Berea College","2011","62"
"156356","Brescia University","2011","32"
"156408","Centre College","2011","82"
"156745","Georgetown College","2011","59"
"157058","Kentucky State University","2011","21"
"157076","Kentucky Wesleyan College","2011","44"
"157100","Kentucky Christian University","2011","44"
"157535","University of Pikeville","2011","26"
"157818","Transylvania University","2011","70"
"158477","Centenary College of Louisiana","2011","58"
"158802","Dillard University","2011","24"
"159382","Louisiana State University-Alexandria","2011","12"
"160065","University of Holy Cross","2011",
"160959","College of the Atlantic","2011","71"
"160977","Bates College","2011","92"
"161004","Bowdoin College","2011","92"
"161086","Colby College","2011","91"
"161217","University of Maine at Augusta","2011","16"
"161226","University of Maine at Farmington","2011","59"
"161235","University of Maine at Fort Kent","2011","33"
"161244","University of Maine at Machias","2011","38"
"161299","Maine Maritime Academy","2011","69"
"161341","University of Maine at Presque Isle","2011","30"
"161572","Unity College","2011","47"
"162654","Goucher College","2011","70"
"163912","St Mary's College of Maryland","2011","79"
"163921","Sojourner-Douglass College","2011","27"
"163976","St. John's College","2011","69"
"164155","United States Naval Academy","2011","90"
"164216","Washington College","2011","75"
"164270","McDaniel College","2011","74"
"164465","Amherst College","2011","96"
"164720","Becker College","2011","27"
"165671","Emmanuel College","2011","63"
"165936","Gordon College","2011","74"
"166018","Hampshire College","2011","61"
"166124","College of the Holy Cross","2011","91"
"166939","Mount Holyoke College","2011","85"
"166948","Mount Ida College","2011","44"
"167251","Newbury College","2011","42"
"167288","Massachusetts College of Liberal Arts","2011","53"
"167455","Pine Manor College","2011","34"
"167792","Bard College at Simon's Rock","2011",
"167835","Smith College","2011","85"
"167996","Stonehill College","2011","81"
"168218","Wellesley College","2011","92"
"168281","Wheaton College","2011","77"
"168342","Williams College","2011","95"
"168528","Adrian College","2011","49"
"168546","Albion College","2011","68"
"168591","Alma College","2011","67"
"169080","Calvin College","2011","77"
"169363","Concordia University-Ann Arbor","2011","40"
"170286","Hillsdale College","2011",
"170301","Hope College","2011","79"
"170532","Kalamazoo College","2011","81"
"170639","Lake Superior State University","2011","35"
"170967","Rochester College","2011","42"
"171599","Olivet College","2011","46"
"171881","Kuyper College","2011","48"
"172440","Finlandia University","2011","35"
"173142","Bethany Lutheran College","2011","53"
"173258","Carleton College","2011","93"
"173300","Concordia College at Moorhead","2011","69"
"173647","Gustavus Adolphus College","2011","82"
"173902","Macalester College","2011","87"
"174075","University of Minnesota-Crookston","2011","46"
"174251","University of Minnesota-Morris","2011","60"
"174394","Sanford-Brown College-Mendota Heights","2011","40"
"174437","North Central University","2011","40"
"174747","College of Saint Benedict","2011","81"
"174792","Saint Johns University","2011","80"
"174844","St Olaf College","2011","85"
"174862","Crown College","2011","51"
"175430","Blue Mountain College","2011","50"
"175980","Millsaps College","2011","66"
"176318","Rust College","2011","28"
"176406","Tougaloo College","2011","48"
"176947","Central Methodist University-College of Liberal Arts and Sciences","2011","43"
"177144","Culver-Stockton College","2011","41"
"177542","Hannibal-LaGrange University","2011","39"
"177551","Harris-Stowe State University","2011","8"
"178341","Missouri Southern State University","2011","33"
"178369","Missouri Valley College","2011","26"
"178387","Missouri Western State University","2011","27"
"178697","College of the Ozarks","2011","54"
"179946","Westminster College","2011","63"
"179955","William Jewell College","2011","63"
"180106","Carroll College","2011","59"
"180258","University of Providence","2011","29"
"180416","Montana Tech of the University of Montana","2011","41"
"180522","Montana State University-Northern","2011","19"
"180595","Rocky Mountain College","2011","50"
"180692","The University of Montana-Western","2011","31"
"181020","Doane University-Arts & Sciences","2011","63"
"181093","Grace University","2011","30"
"181127","Hastings College","2011","56"
"181330","Midland University","2011","44"
"181738","Union College","2011","53"
"181853","York College","2011","31"
"182634","Colby-Sawyer College","2011","54"
"183071","University of New Hampshire at Manchester","2011","55"
"183239","Saint Anselm College","2011","73"
"183257","Granite State College","2011","45"
"183275","Thomas More College of Liberal Arts","2011","68"
"183822","Bloomfield College","2011","32"
"184348","Drew University","2011","68"
"189088","Bard College","2011","76"
"189097","Barnard College","2011","92"
"189848","Cazenovia College","2011","49"
"190099","Colgate University","2011","92"
"190248","Concordia College-New York","2011","49"
"190372","Cooper Union for the Advancement of Science and Art","2011","76"
"190646","CUNY Medgar Evers College","2011","39"
"190655","CUNY New York City College of Technology","2011","24"
"190691","CUNY York College","2011","20"
"190983","Elmira College","2011","60"
"191205","Five Towns College","2011","31"
"191515","Hamilton College","2011","89"
"191533","Hartwick College","2011","54"
"191621","Hilbert College","2011","40"
"191630","Hobart William Smith Colleges","2011","75"
"191676","Houghton College","2011","68"
"192864","Marymount Manhattan College","2011","40"
"194392","Paul Smiths College of Arts and Science","2011","37"
"195173","St Francis College","2011","50"
"195216","St Lawrence University","2011","80"
"195304","Sarah Lawrence College","2011","70"
"195474","Siena College","2011","74"
"195526","Skidmore College","2011","84"
"196042","Farmingdale State College","2011","40"
"196219","SUNY at Purchase College","2011","56"
"196866","Union College","2011","86"
"197027","United States Merchant Marine Academy","2011","80"
"197036","United States Military Academy","2011","83"
"197133","Vassar College","2011","91"
"197230","Wells College","2011","59"
"197911","Barton College","2011","47"
"197984","Belmont Abbey College","2011","38"
"197993","Bennett College","2011","39"
"198066","Brevard College","2011","35"
"198215","Catawba College","2011","54"
"198303","Chowan University","2011","30"
"198385","Davidson College","2011","92"
"198598","Greensboro College","2011","40"
"198613","Guilford College","2011","60"
"198695","High Point University","2011","61"
"198756","Johnson C Smith University","2011","37"
"198808","Lees-McRae College","2011","24"
"198862","Livingstone College","2011","28"
"198899","Mars Hill University","2011","38"
"198950","Meredith College","2011","59"
"199069","University of Mount Olive","2011","45"
"199111","University of North Carolina at Asheville","2011","61"
"199209","North Carolina Wesleyan College","2011","22"
"199272","William Peace University","2011","36"
"199582","Saint Augustine's University","2011","23"
"199607","Salem College","2011","53"
"199643","Shaw University","2011","27"
"199698","St. Andrews University","2011","43"
"199865","Warren Wilson College","2011","45"
"200059","Dickinson State University","2011","31"
"200156","University of Jamestown","2011","45"
"200226","Mayville State University","2011","25"
"200572","Valley City State University","2011","42"
"201371","Bluffton University","2011","59"
"201654","Cedarville University","2011","68"
"201690","Central State University","2011","24"
"201964","Ohio Christian University","2011","53"
"202514","Defiance College","2011","51"
"202523","Denison University","2011","79"
"203128","Hiram College","2011","66"
"203535","Kenyon College","2011","87"
"203845","Marietta College","2011","51"
"204185","University of Mount Union","2011","65"
"204501","Oberlin College","2011","88"
"204635","Ohio Northern University","2011","65"
"204671","Ohio State University-Lima Campus","2011","45"
"204909","Ohio Wesleyan University","2011","61"
"205443","Shawnee State University","2011","22"
"206330","Urbana University","2011","31"
"206491","Wilberforce University","2011","30"
"206507","Wilmington College","2011","51"
"206525","Wittenberg University","2011","71"
"206589","The College of Wooster","2011","75"
"206613","Wright State University-Lake Campus","2011","30"
"207351","Oklahoma Panhandle State University","2011","30"
"207403","Oklahoma Baptist University","2011","51"
"207661","Rogers State University","2011","23"
"207689","St. Gregory's University","2011","29"
"207722","University of Science and Arts of Oklahoma","2011","39"
"207856","Southwestern Christian University","2011","28"
"209056","Lewis & Clark College","2011","73"
"209065","Linfield College-McMinnville Campus","2011","73"
"209506","Oregon Institute of Technology","2011","42"
"209922","Reed College","2011","80"
"210304","Warner Pacific College","2011","46"
"210401","Willamette University","2011","77"
"210492","Bryn Athyn College of the New Church","2011","30"
"210571","Albright College","2011","60"
"210669","Allegheny College","2011","80"
"210906","The Art Institutes of York-PA","2011",
"211273","Bryn Mawr College","2011","87"
"211291","Bucknell University","2011","91"
"211468","Cedar Crest College","2011","50"
"211477","Central Penn College","2011","51"
"211608","Cheyney University of Pennsylvania","2011","24"
"212009","Dickinson College","2011","84"
"212197","Elizabethtown College","2011","79"
"212577","Franklin and Marshall College","2011","85"
"212674","Gettysburg College","2011","85"
"212805","Grove City College","2011","82"
"212911","Haverford College","2011","92"
"213251","Juniata College","2011","76"
"213303","Keystone College","2011","39"
"213358","La Roche College","2011","51"
"213385","Lafayette College","2011","88"
"213668","Lycoming College","2011","70"
"213996","Messiah College","2011","74"
"214157","Moravian College","2011","76"
"214175","Muhlenberg College","2011","86"
"214591","Pennsylvania State University-Penn State Erie-Behrend College","2011","66"
"214625","Pennsylvania State University-Penn State New Kensington","2011","40"
"214634","Pennsylvania State University-Penn State Shenango","2011","44"
"214643","Pennsylvania State University-Penn State Wilkes-Barre","2011","47"
"214652","Pennsylvania State University-Penn State Worthington Scranton","2011","46"
"214670","Pennsylvania State University-Penn State Lehigh Valley","2011","47"
"214689","Pennsylvania State University-Penn State Altoona","2011","65"
"214698","Pennsylvania State University-Penn State Beaver","2011","47"
"214704","Pennsylvania State University-Penn State Berks","2011","55"
"214731","Pennsylvania State University-Penn State Brandywine","2011","37"
"214786","Pennsylvania State University-Penn State Greater Allegheny","2011","47"
"214801","Pennsylvania State University-Penn State Abington","2011","44"
"214810","Pennsylvania State University-Penn State Schuylkill","2011","47"
"214829","Pennsylvania State University-Penn State York","2011","45"
"214883","Peirce College","2011","27"
"215266","University of Pittsburgh-Bradford","2011","48"
"215275","University of Pittsburgh-Greensburg","2011","52"
"215284","University of Pittsburgh-Johnstown","2011","59"
"215798","Saint Vincent College","2011","73"
"216278","Susquehanna University","2011","77"
"216287","Swarthmore College","2011","95"
"216357","Thiel College","2011","39"
"216524","Ursinus College","2011","80"
"216542","University of Valley Forge","2011","53"
"216667","Washington & Jefferson College","2011","74"
"216807","Westminster College","2011","74"
"217013","Wilson College","2011","53"
"217624","Allen University","2011","0"
"217721","Benedict College","2011","26"
"217873","Claflin University","2011","40"
"217907","Coker College","2011","49"
"217998","Erskine College","2011","55"
"218070","Furman","2011","87"
"218229","Lander University","2011","37"
"218238","Limestone College","2011","39"
"218399","Morris College","2011","33"
"218414","Newberry College","2011","35"
"218539","Presbyterian College","2011","68"
"218645","University of South Carolina-Aiken","2011","41"
"218654","University of South Carolina-Beaufort","2011","21"
"218742","University of South Carolina-Upstate","2011","39"
"218919","Voorhees College","2011","34"
"218973","Wofford College","2011","79"
"219000","Augustana University","2011","65"
"219091","Dakota Wesleyan University","2011","43"
"219204","National American University-Rapid City","2011","22"
"220181","Fisk University","2011","45"
"220206","Welch College","2011","42"
"220598","Lane College","2011","34"
"220604","Le Moyne-Owen College","2011","15"
"220701","Martin Methodist College","2011","49"
"220710","Maryville College","2011","54"
"221351","Rhodes College","2011","75"
"221519","Sewanee-The University of the South","2011","86"
"221731","Tennessee Wesleyan University","2011","44"
"222983","Austin College","2011","75"
"224527","East Texas Baptist University","2011","43"
"225548","Howard Payne University","2011","46"
"225575","Huston-Tillotson University","2011","20"
"225885","Jarvis Christian College","2011","14"
"226587","McMurry University","2011","36"
"227429","Paul Quinn College","2011","5"
"228042","Schreiner University","2011","39"
"228343","Southwestern University","2011","74"
"228468","Southwestern Adventist University","2011","38"
"228884","Texas College","2011","6"
"228981","Texas Lutheran University","2011","49"
"229887","Wiley College","2011","18"
"230047","Brigham Young University-Hawaii","2011","51"
"230630","Stevens-Henager College","2011","5"
"230816","Bennington College","2011","67"
"230834","Castleton University","2011","47"
"230931","Lyndon State College","2011","31"
"230940","Marlboro College","2011","66"
"230959","Middlebury College","2011","93"
"231059","Saint Michael's College","2011","82"
"231077","College of St Joseph","2011","45"
"231086","Southern Vermont College","2011","19"
"231095","Sterling College","2011","50"
"231420","Averett University","2011","41"
"231554","Bluefield College","2011","36"
"231581","Bridgewater College","2011","59"
"232025","Emory & Henry College","2011","59"
"232089","Ferrum College","2011","31"
"232256","Hampden-Sydney College","2011","67"
"232308","Hollins University","2011","63"
"233295","Randolph-Macon College","2011","60"
"233301","Randolph College","2011","63"
"233374","University of Richmond","2011","83"
"233426","Roanoke College","2011","69"
"233611","Southern Virginia University","2011","25"
"233718","Sweet Briar College","2011","70"
"233897","The University of Virginia's College at Wise","2011","39"
"234085","Virginia Military Institute","2011","69"
"234164","Virginia Union University","2011","29"
"234173","Virginia Wesleyan University","2011","48"
"234207","Washington and Lee University","2011","91"
"236328","University of Puget Sound","2011","73"
"237057","Whitman College","2011","86"
"237118","Alderson Broaddus University","2011","49"
"237181","Bethany College","2011","48"
"237215","Bluefield State College","2011","22"
"237358","Davis & Elkins College","2011","36"
"237385","Glenville State College","2011","31"
"237640","Ohio Valley University","2011","43"
"237792","Shepherd University","2011","46"
"237899","West Virginia State University","2011","25"
"237932","West Liberty University","2011","46"
"237950","West Virginia University Institute of Technology","2011","29"
"238333","Beloit College","2011","76"
"238476","Carthage College","2011","59"
"239017","Lawrence University","2011","77"
"239071","Maranatha Baptist University","2011","51"
"239512","Northland College","2011","48"
"239628","Ripon College","2011","70"
"239716","Saint Norbert College","2011","70"
"240338","Wisconsin Lutheran College","2011","63"
"240374","University of Wisconsin-Parkside","2011","28"
"240426","University of Wisconsin-Superior","2011","44"
"241128","American University of Puerto Rico","2011","24"
"241191","Universidad Adventista de las Antillas","2011","36"
"241386","Caribbean University-Carolina","2011","29"
"241720","Colegio Universitario de San Juan","2011","17"
"242644","Inter American University of Puerto Rico-Barranquitas","2011","35"
"242680","Inter American University of Puerto Rico-Fajardo","2011","23"
"242699","Inter American University of Puerto Rico-Guayama","2011","24"
"242705","Inter American University of Puerto Rico-Bayamon","2011","24"
"243106","University of Puerto Rico-Aguadilla","2011","29"
"243115","University of Puerto Rico-Arecibo","2011","36"
"243133","University of Puerto Rico-Bayamon","2011","45"
"243142","University of Puerto Rico-Carolina","2011","26"
"243151","University of Puerto Rico-Cayey","2011","45"
"243179","University of Puerto Rico-Humacao","2011","44"
"243212","University of Puerto Rico-Ponce","2011","38"
"243586","Pontifical Catholic University of Puerto Rico-Mayaguez","2011","17"
"243832","EDP University of Puerto Rico Inc-San Juan","2011","11"
"245652","St. John's College","2011","53"
"245847","Antioch University-Santa Barbara","2011",
"262129","New College of Florida","2011","68"
"363916","Caribbean University-Vega Baja","2011","13"
"384254","Beacon College","2011","82"
"385619","Everglades University","2011","65"
"398130","Mt Sierra College","2011","27"
"399911","Soka University of America","2011","87"
"414823","Johnson & Wales University-North Miami","2011","46"
"414878","Trine University-Regional/Non-Traditional Campuses","2011","0"
"421832","Living Arts College","2011",
"428259","Ottawa University-Milwaukee","2011",
"432241","University of Phoenix-Oregon","2011","25"
"437325","Linfield College-Online and Continuing Education","2011",
"440466","University of Phoenix-Idaho","2011","9"
"441900","Nevada State College","2011","22"
"443410","DigiPen Institute of Technology","2011","54"
"445319","University of Phoenix-Minnesota","2011","7"
"446048","Ave Maria University","2011","41"
"447050","United States University","2011",
"447689","Georgia Gwinnett College","2011",
"449870","University of the West","2011","0"
"450085","The Art Institute of Charleston","2011",
"450298","Strayer University-Delaware","2011",
"451060","Digital Media Arts College","2011","46"
"454184","The King's College","2011","51"
"454582","Ottawa University-Online","2011",
"455770","Providence Christian College","2011","57"
"456621","Strayer University-West Virginia","2011",
"457484","Pacific Rim Christian University","2011","44"
"457697","City Vision University","2011",
"458496","The Art Institute of Virginia Beach","2011",
"458973","Strayer University-Texas","2011",
"458982","The Art Institute of San Antonio","2011",
"459268","South Universityâ€“Virginia Beach","2011",
"459851","Herzing University-Brookfield","2011",
"460783","Remington College-Heathrow Campus","2011",
"461236","Georgia Christian University","2011",
"461795","North American University","2011",
"462044","Institute for Doctoral Studies in the Visual Arts","2011",
"462354","John Paul the Great Catholic University","2011",
"468015","South University-The Art Institute of Fort Worth","2011",
"468024","South University-Novi","2011",
"470092","The Art Institute of Wisconsin","2011",
"475200","Whitworth University-Adult Degree Programs","2011",
"480073","South University-Austin","2011",
"480134","Elizabethtown College School of Continuing and Professional Studies","2011",
"481720","South University-High Point","2011",
"482158","Middle Georgia State University","2011",
"484622","University of Phoenix-Arkansas","2011",
"484701","University of Phoenix-Missouri","2011",
"484783","University of Phoenix-Pennsylvania","2011",
